LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
BPIFB2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,1754,1889,5,in vitro
BPIFB2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,1756,1888,7,in vitro
BPIFB2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,1767,1905,3,in vitro
BPIFB2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,1770,1906,3,in vitro
BPIFB2,Phosphatidylglycerol (32:1),3,1773,1924;1947,15,in vitro
BPIFB2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,1777,1815,2,in vitro
BPIFB2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,1808,1866,2,in vitro
BPIFB2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,1811,1863,1,in vitro
BPIFB2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,1831,1944,4,in vitro
BPIFB2,Hexosyl ceramide (d42:1),2,1880,1881,8,in cellulo
BPIFB2,Hexosyl ceramide (d42:2),2,1882,1883,4,in cellulo
BPIFB2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,1891,1892,8,in cellulo
BPIFB2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,1893,1894,4,in cellulo
BPIFB2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,1907,1908,2,in cellulo
BPIFB2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,1910,1911,2,in cellulo
GLTP,Phosphatidylcholine (32:2),2,1953,2212,13,in cellulo
GLTP,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,1982,2119,16,in cellulo
GLTP,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,1983,2182,3,in cellulo
GLTP,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,1984,2057,1,in cellulo
