LTP,Lipid,Lipid Chains,Lipid SMILES,Lipid Volumes (Å3)
FABP7,FA(19:1),nonadecenoate => (19:1),C(CCCCCCCC/C=C\CCCCCCCC)(=O)O,277.85424999999998
FABP7,FA(20:4),eicosatetraenoate => (20:4),C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,286.35614285714286
FABP7,FA(20:5),eicosapentaenoate => (20:5),C(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(=O)O,284.98666666666662
FABP7,FA(22:5),docosapentaenoate => (22:5),C(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(=O)O,312.07
GLTP,FA(18:3),octadecatrienoate => (18:3),C(=C/C/C=C\C/C=C\CCCCC)/CCCCC(=O)O,260.67599999999999
GLTP,FA(22:3),docosatrienoate => (22:3),C(CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)(=O)O,315.28899999999999
GLTP,FA(22:4),docosatetraenoate => (22:4),C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,286.35614285714286
GLTP,FAL(18:3),octadecatrienol => (18:3),C(=C/C/C=C\C/C=C\CCCCC)/CCCCC(=O)O,260.67599999999999
GLTP,Hex2Cer(t*40:2),Dihexosyl ceramide (t*40:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,804.84400000000005
GLTP,Hex2Cer(t*42:2),Dihexosyl ceramide (t*42:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,833.28599999999994
GLTP,HexCer(d*34:1),Hexosyl ceramide (d*34:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,614.12300000000005
GLTP,HexCer(d*36:1),Hexosyl ceramide (d*36:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCC,641.55799999999999
